title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
Attack on Titan II: End of the World,ja,9/1/2015,59.771,0,0,87,Released,"Action, Fantasy, Horror, Science Fiction"
Drag Me to Hell,en,3/15/2009,59.708,30000000,90810892,99,Released,"Horror, Thriller"
Dinosaur Hotel,en,6/11/2021,59.573,0,0,77,Released,"Horror, Mystery, Science Fiction"
Anacondas: The Hunt for the Blood Orchid,en,8/26/2004,59.552,0,0,96,Released,"Action, Adventure, Horror"
Dead Silence,en,3/16/2007,59.495,20000000,22217407,89,Released,Horror
Saw III,en,10/27/2006,59.343,10000000,164874275,114,Released,"Crime, Horror, Thriller"
Friday the 13th,en,5/9/1980,58.957,550000,59754601,95,Released,Horror
Midsommar,en,7/3/2019,58.67,9000000,47980982,147,Released,"Drama, Horror, Mystery"
Zombieland: Double Tap,en,10/9/2019,58.248,42000000,122801777,99,Released,"Comedy, Horror"
Halloween 5: The Revenge of Michael Myers,en,10/12/1989,58.22,3000000,11642254,97,Released,"Horror, Thriller"
Blade,en,8/21/1998,57.899,45000000,131183530,121,Released,"Action, Horror"
I Spit on Your Grave,en,6/17/2010,57.811,2000000,572809,108,Released,"Crime, Horror, Thriller"
The Texas Chain Saw Massacre,en,10/1/1974,57.809,85000,30900000,83,Released,Horror
Phobias,en,2/28/2021,57.696,0,0,85,Released,"Horror, Thriller"
The Cabin in the Woods,en,4/12/2012,57.429,30000000,71041255,95,Released,"Fantasy, Horror"
Evil Eye,en,4/1/2020,57.106,0,0,90,Released,"Horror, Mystery, Thriller"
The Funeral Home,es,4/15/2021,56.856,0,0,86,Released,Horror
Sator,en,7/21/2019,56.6,0,130023,85,Released,Horror
The Thing,en,6/25/1982,56.545,15000000,19629760,109,Released,"Horror, Mystery, Science Fiction"
Veronica,es,8/25/2017,56.39,0,0,105,Released,Horror
Insidious: The Last Key,en,1/3/2018,56.103,10000000,167184112,103,Released,"Horror, Mystery, Thriller"
Unhuman,en,6/3/2022,56,0,0,87,Released,"Comedy, Horror"
Shadow in the Cloud,en,12/31/2020,55.991,0,1025190,83,Released,"Action, Horror, War"
Texas Chainsaw 3D,en,1/3/2013,55.817,10000000,0,92,Released,"Horror, Thriller"
Paranormal Activity 3,en,10/19/2011,55.508,5000000,207039844,94,Released,"Horror, Mystery"
Safer at Home,en,2/26/2021,55.177,0,0,82,Released,"Horror, Thriller"
Ghost Mansion,ko,6/30/2021,55.108,0,0,106,Released,Horror
Saw IV,en,10/25/2007,54.942,10000000,139352633,96,Released,"Crime, Horror, Thriller"
Significant Other,en,10/6/2022,54.799,0,0,84,Released,"Horror, Science Fiction, Thriller"
Porno,en,6/28/2019,54.413,0,0,98,Released,"Comedy, Horror"
Goodnight Mommy,de,10/7/2014,54.063,0,2193474,100,Released,"Drama, Horror, Mystery, Thriller"
House of the Witch,en,10/7/2017,53.773,0,0,90,Released,"Horror, TV Movie"
I Spit on Your Grave III: Vengeance is Mine,en,10/1/2015,53.578,0,0,91,Released,"Horror, Thriller"
Annihilation,en,2/22/2018,53.42,40000000,43070915,115,Released,"Horror, Science Fiction"
The New Mutants,en,8/26/2020,53.323,67000000,49169594,94,Released,"Action, Horror, Mystery, Science Fiction"
The Hills Have Eyes 2,en,3/22/2007,53.301,15000000,37697773,89,Released,"Horror, Thriller"
28 Weeks Later,en,4/26/2007,53.104,15000000,65048678,100,Released,"Horror, Science Fiction, Thriller"
Don't Breathe,en,6/8/2016,53.069,9900000,159047649,89,Released,"Horror, Thriller"
The Final Destination,en,8/26/2009,53.023,40000000,186167139,82,Released,"Horror, Mystery"
Knock Knock,en,6/26/2015,52.877,2500000,6341684,99,Released,"Drama, Horror, Thriller"
El amarre,es,10/21/2021,52.743,0,0,77,Released,Horror
Blood Red Sky,de,7/23/2021,52.695,17739525,0,121,Released,"Action, Horror, Thriller"
The Exorcism of Emily Rose,en,9/9/2005,52.675,19000000,145166804,122,Released,"Crime, Drama, Horror, Thriller"
There's Someone Inside Your House,en,9/24/2021,52.537,0,0,96,Released,"Horror, Mystery, Thriller"
Willy's Wonderland,en,2/12/2021,52.535,5000000,431020,88,Released,"Action, Comedy, Horror"
Werewolves Within,en,6/25/2021,52.511,6500000,250811,97,Released,"Comedy, Horror"
Halloween: The Curse of Michael Myers,en,9/29/1995,52.474,5000000,15116634,88,Released,"Horror, Thriller"
The Seventh Day,en,3/26/2021,52.293,0,0,87,Released,Horror
Thir13en Ghosts,en,10/26/2001,52.197,42000000,68467960,91,Released,"Horror, Thriller"
The Human Centipede 2 (Full Sequence),en,10/6/2011,51.967,0,0,91,Released,"Crime, Drama, Horror"
[REC]⁴ Apocalypse,es,10/31/2014,51.876,3000000,4915757,95,Released,"Horror, Thriller"
Deep Blue Sea 3,en,8/25/2020,51.476,5000000,0,100,Released,"Action, Horror, Science Fiction"
The Mad Hatter,en,1/29/2021,51.424,0,0,90,Released,"Horror, Thriller"
Jaws,en,6/20/1975,51.381,7000000,470653000,124,Released,"Adventure, Horror, Thriller"
The Jack in the Box,en,11/9/2019,51.256,0,0,87,Released,Horror
Scream 2,en,12/12/1997,51.026,24000000,172363301,120,Released,"Horror, Mystery"
AVP: Alien vs. Predator,en,8/12/2004,50.996,70000000,177427090,101,Released,"Action, Adventure, Horror, Science Fiction"
#Alive,ko,6/24/2020,50.907,6300000,13416285,98,Released,"Action, Horror, Thriller"
Hostel,en,9/17/2005,50.839,4800000,81979826,94,Released,Horror
The Babysitter: Killer Queen,en,9/10/2020,50.778,0,0,101,Released,"Comedy, Horror"
Sleepy Hollow,en,11/19/1999,50.681,100000000,206071502,105,Released,"Drama, Fantasy, Horror, Mystery, Thriller"
Piranha 3D,en,8/20/2010,50.603,24000000,83188165,88,Released,"Comedy, Horror"
Van Helsing,en,5/5/2004,50.495,160000000,300257475,132,Released,"Action, Adventure, Horror"
Stan Helsing,en,10/27/2009,50.368,365000,1400000,90,Released,"Comedy, Horror"
Paranormal Activity: Tokyo Night,ja,11/20/2010,50.297,1350000,4160000,91,Released,"Horror, Thriller"
It Follows,en,9/24/2014,50.294,2000000,14674076,101,Released,"Horror, Mystery"
Smiley,en,10/12/2012,50.224,0,0,95,Released,Horror
Containment,en,7/9/2015,50.172,0,0,77,Released,"Horror, Science Fiction, Thriller"
Halloween II,en,10/30/1981,50.085,2500000,25533818,92,Released,"Horror, Thriller"
Evil Dead,en,4/5/2013,49.982,17000000,97542952,96,Released,Horror
Insensate,pt,8/4/2021,49.877,0,0,84,Released,"Horror, Mystery, Thriller"
Hostel: Part II,en,6/8/2007,49.793,10200000,35728183,93,Released,Horror
I Spit on Your Grave 2,en,8/25/2013,49.755,0,678604,106,Released,"Crime, Horror, Thriller"
Crawl,en,7/11/2019,49.607,13500000,89203432,88,Released,"Action, Horror, Thriller"
28 Days Later,en,10/31/2002,49.268,5000000,85720385,113,Released,"Horror, Science Fiction, Thriller"
Ghost Ship,en,10/25/2002,49.195,35000000,68349884,91,Released,"Horror, Mystery, Thriller"
The Banishing,en,4/29/2021,49.121,0,0,97,Released,Horror
Friday the 13th: The Final Chapter,en,4/13/1984,48.887,2600000,32980880,91,Released,Horror
Insidious: Chapter 3,en,5/28/2015,48.653,10000000,104303851,97,Released,"Drama, Horror, Thriller"
Fat Ass Zombies,en,2/18/2020,47.937,0,0,88,Released,"Comedy, Horror"
Bodies Bodies Bodies,en,8/5/2022,47.932,0,10000000,94,Released,"Comedy, Horror, Mystery"
Halloween: Resurrection,en,7/1/2002,47.79,13000000,37664855,89,Released,"Horror, Thriller"
Polaroid,en,1/10/2019,47.575,0,0,88,Released,"Horror, Mystery, Thriller"
The Ring Two,en,3/17/2005,47.482,50000000,161451538,110,Released,"Drama, Horror, Thriller"
The Island of Giant Insects,ja,1/10/2020,47.477,0,0,76,Released,"Adventure, Animation, Drama, Horror, Mystery"
The Dinosaur Project,en,8/9/2012,47.421,0,2412576,83,Released,"Action, Adventure, Horror"
Night Teeth,en,10/20/2021,47.405,21700000,0,107,Released,"Action, Horror, Thriller"
La Casa,es,1/30/2020,47.302,0,0,73,Released,Horror
Echoes,es,1/27/2022,47.267,0,0,84,Released,"Horror, Thriller"
Saw 3D,en,10/21/2010,47.018,20000000,136151680,90,Released,"Crime, Horror"
Sijjin 6,tr,8/9/2019,47.003,0,0,94,Released,Horror
Shaun of the Dead,en,4/9/2004,46.937,6100000,30097092,99,Released,"Comedy, Horror"
Carrie,en,11/3/1976,46.915,1800000,33800000,98,Released,"Horror, Thriller"
The Ritual,en,10/11/2017,46.777,1000000,1786396,94,Released,"Horror, Mystery, Thriller"
Vivarium,en,9/7/2019,46.777,4000000,427399,97,Released,"Horror, Mystery, Science Fiction"
Stay Out of the Attic,en,3/11/2021,46.543,0,0,80,Released,Horror
What the Peeper Saw,it,10/14/1972,46.448,0,0,89,Released,"Drama, Horror, Thriller"
The Blair Witch Project,en,7/14/1999,46.286,60000,248639099,81,Released,"Horror, Mystery"
Watcher,en,6/3/2022,46.144,0,2667033,96,Released,"Horror, Thriller"
"Salò, or the 120 Days of Sodom",it,1/10/1976,46.125,0,22017,117,Released,"Drama, Horror"
The Evil Dead,en,9/10/1981,46.079,350000,29400000,85,Released,Horror
