title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
Sadako vs. Kayako,ja,6/18/2016,23.105,0,8992523,98,Released,Horror
V/H/S/94,en,9/26/2021,23.043,0,0,103,Released,Horror
Red Eye,en,8/19/2005,23.036,26000000,57891803,85,Released,"Horror, Thriller"
Rape Zombie: Lust of the Dead 3,ja,3/23/2013,23.014,0,0,68,Released,"Comedy, Horror"
The Bad Batch,en,6/23/2017,22.996,6000000,180851,119,Released,"Drama, Horror, Science Fiction"
Creep,en,6/23/2014,22.994,0,0,82,Released,Horror
Rosemary's Baby,en,6/12/1968,22.975,3200000,33395426,138,Released,"Drama, Horror, Thriller"
The Haunting of Margam Castle,en,9/1/2020,22.948,0,0,81,Released,Horror
Zombeavers,en,10/20/2014,22.944,0,14947,85,Released,"Action, Comedy, Horror"
Raw,fr,11/11/2016,22.941,3500000,4100000,99,Released,"Comedy, Drama, Horror"
Creep 2,en,10/14/2017,22.877,0,0,80,Released,"Horror, Thriller"
Spree,en,8/14/2020,22.859,0,43840,93,Released,"Comedy, Horror, Thriller"
The Woman in Black,en,2/3/2012,22.819,17000000,127730736,95,Released,"Drama, Horror, Thriller"
Incarnate,en,12/1/2016,22.736,5000000,6341855,91,Released,"Horror, Thriller"
The Omen,en,6/6/2006,22.728,25000000,119188334,110,Released,Horror
Come Play,en,10/28/2020,22.708,9000000,8119285,96,Released,Horror
Deliver Us from Evil,en,7/1/2014,22.676,30000000,87937815,118,Released,"Crime, Horror, Thriller"
The Bar,es,2/15/2017,22.662,6045750,3662671,102,Released,"Comedy, Horror, Thriller"
Till Death,en,7/2/2021,22.651,0,495268,89,Released,"Horror, Thriller"
Revenge,fr,1/25/2017,22.601,2900000,692079,109,Released,"Action, Horror, Thriller"
mother!,en,9/13/2017,22.57,30000000,44516999,121,Released,"Drama, Horror, Mystery"
Slither,en,3/31/2006,22.55,15000000,12834936,95,Released,"Comedy, Horror, Science Fiction"
Hellraiser: Bloodline,en,3/8/1996,22.544,4000000,16675000,86,Released,"Horror, Science Fiction"
Row 19,ru,11/11/2021,22.514,0,0,77,Released,"Horror, Thriller"
Winchester,en,2/2/2018,22.504,3500000,44019588,100,Released,"Horror, Thriller"
Eli,en,10/18/2019,22.502,0,0,98,Released,Horror
The John Wayne Gacy Murders: life and death in Chicago,en,8/1/2020,22.49,0,0,0,Released,"Documentary, Horror"
Margaux,en,9/9/2022,22.487,0,0,105,Released,"Horror, Science Fiction"
Haunt,en,9/13/2019,22.407,0,0,92,Released,"Horror, Thriller"
Blair Witch,en,9/15/2016,22.395,5000000,45172994,89,Released,"Horror, Thriller"
Tremors 3: Back to Perfection,en,10/2/2001,22.373,6000000,0,100,Released,"Action, Comedy, Horror, Science Fiction, Thriller"
Vacancy,en,4/20/2007,22.325,19000000,35300645,85,Released,"Horror, Thriller"
Ju-on: The Grudge,ja,10/18/2002,22.301,3500000,3657876,92,Released,Horror
Apokawixa,pl,10/7/2022,22.287,0,0,110,Released,"Comedy, Horror"
The Grudge 2,en,10/12/2006,22.217,20000000,39143839,102,Released,"Horror, Thriller"
Blue Exorcist: The Movie,ja,12/28/2012,22.205,0,0,88,Released,"Action, Animation, Fantasy, Horror, Mystery"
La Bruja,es,10/28/2021,22.171,1000000,0,0,Released,"Drama, Horror"
The Forest,en,1/7/2016,22.17,10000000,37608299,95,Released,"Horror, Mystery, Thriller"
Zombies,es,11/1/2014,22.169,0,0,9,Released,"Comedy, Horror"
The Cursed,en,7/28/2021,22.148,0,4588389,111,Released,"Fantasy, Horror, Mystery"
Originless,es,10/25/2020,22.133,0,0,93,Released,"Horror, Thriller"
Cooties,en,10/10/2014,22.094,0,581011,88,Released,"Comedy, Horror"
Deep Blue Sea 2,en,4/17/2018,22.013,0,0,94,Released,"Action, Horror, Science Fiction"
"Double, Double, Toil and Trouble",en,10/30/1993,21.977,0,0,96,Released,"Family, Horror, TV Movie"
What Lies Below,en,12/17/2020,21.977,0,0,87,Released,"Horror, Mystery, Science Fiction, Thriller"
Discarnate,en,2/20/2019,21.967,0,0,84,Released,"Horror, Thriller"
Tau,en,6/29/2018,21.966,0,0,97,Released,"Horror, Science Fiction, Thriller"
When a Stranger Calls,en,2/3/2006,21.961,15000000,67062123,87,Released,"Horror, Mystery"
Hubie Halloween,en,10/7/2020,21.953,14000000,0,103,Released,"Comedy, Horror, Mystery"
Cargo,en,10/6/2017,21.935,0,56385,105,Released,"Drama, Horror, Thriller"
Erotic Ghost Story,cn,5/19/1990,21.872,0,0,88,Released,"Drama, Fantasy, Horror"
The Joke,en,10/7/2022,21.856,0,0,2,Released,"Comedy, Horror, Thriller"
The Poughkeepsie Tapes,en,4/27/2007,21.817,0,0,81,Released,"Crime, Horror, Mystery, Thriller"
Species II,en,4/10/1998,21.794,35000000,19165560,93,Released,"Action, Horror, Science Fiction"
The House That Jack Built,en,10/4/2018,21.768,9800000,5566776,153,Released,"Crime, Drama, Horror, Thriller"
As the Gods Will,ja,11/15/2014,21.758,0,0,117,Released,"Comedy, Horror, Thriller"
Raped by an Angel 2: The Uniform Fan,cn,3/6/1998,21.735,0,0,89,Released,"Horror, Thriller"
Circle,en,5/28/2015,21.724,0,0,87,Released,"Drama, Horror, Mystery, Science Fiction, Thriller"
Urban Legends: Final Cut,en,9/22/2000,21.559,14000000,38574362,97,Released,"Horror, Mystery, Thriller"
Hellraiser: Revelations,en,10/18/2011,21.545,350000,0,75,Released,Horror
The Devil Inside,en,1/6/2012,21.514,1000000,101758490,83,Released,"Horror, Thriller"
Ginger Snaps 2: Unleashed,en,1/30/2004,21.484,0,0,94,Released,"Drama, Horror"
The Seventh Sign,en,4/1/1988,21.47,0,18875011,97,Released,"Fantasy, Horror"
Stay Alive,en,3/24/2006,21.457,9000000,27105095,85,Released,"Horror, Thriller"
The Menu,en,11/17/2022,21.437,0,0,106,Released,"Comedy, Horror"
The Accursed,en,10/14/2022,21.389,0,0,96,Post Production,Horror
Show Me the Ghost,ko,9/9/2021,21.345,0,0,83,Released,"Comedy, Horror"
